Name,Scholar ID,Affiliation,Total Citations,H-index,I10-index,Research Interests,Scholar URL
Frank G. Schröder,qyy8Sy0AAAAJ,University of Delaware,32931,81,285,Astroparticle Physics: Radio Detection of Cosmic Ray Air Showers,https://scholar.google.com/citations?user=qyy8Sy0AAAAJ
Zvi Schwartz,ElMKRK0AAAAJ,"Hospitality Business Management, Lerner College of Business & Economics, University of Delaware",4405,34,63,"Revenue Management, Hotels, Forecasting",https://scholar.google.com/citations?user=ElMKRK0AAAAJ
Kalim Shah,l83QWc8AAAAJ,"Biden School of Public Policy and Administration, University of Delaware",2318,24,36,"Environmental Policy, Energy Policy, Climate Policy, Corporate Sustainability, Small Island States",https://scholar.google.com/citations?user=l83QWc8AAAAJ
Kenneth Shores,x1gyyigAAAAJ,"Associate Professor School of Education; Biden School of Public Policy & Administration, by courtesy",1849,16,19,"Education, School Finance, Educational Inequality, Political Theory, Distributive Justice",https://scholar.google.com/citations?user=x1gyyigAAAAJ
A.R. Siders,ltE7LXtzkYUC,University of Delaware,2861,22,30,"Climate Change Adaptation, Disaster Risk Management, Coastal Resilience, Adaptive Governance, Environmental Justice",https://scholar.google.com/citations?user=ltE7LXtzkYUC
Abhyudai Singh,MPmrKXsAAAAJ,"Professor of Electrical and Biomedical Engineering, University of Delaware",9254,44,140,"Systems and Control, Stochastic Processes, Systems Biology, Theoretical Ecology, Computational Neuroscience",https://scholar.google.com/citations?user=MPmrKXsAAAAJ
Junbo Son,6opL3DwAAAAJ,"Alfred Lerner College of Business & Economics, University of Delaware",473,9,7,"Medical Informatics, Data Analytics, Operations Management, Quality and Reliability",https://scholar.google.com/citations?user=6opL3DwAAAAJ
Erin E Sparks,IzDYkbwAAAAJ,University of Delaware,1417,19,26,,https://scholar.google.com/citations?user=IzDYkbwAAAAJ
Herbert Tanner,_EBdbQUAAAAJ,University of Delaware,9609,38,96,"Multi-agent systems, Multi-robot systems, mobile manipulation, robot navigation, motion planning and control",https://scholar.google.com/citations?user=_EBdbQUAAAAJ
Jeremy Tobacman,0kOr7jQAAAAJ,"Department of Economics, University of Delaware",6715,21,29,"Behavioral Economics, Development Economics, Household Finance",https://scholar.google.com/citations?user=0kOr7jQAAAAJ
